,Nama_Produk,Lokasi,Tahun,Price,Wilayah,Merek,Model,Periode,Usia,Harga_Terkoreksi,Merek_encoded,Model_encoded
0,Pajak Panjang - Honda Brio Satya 1.2 E Bensin-MT 2015 Merah (7EQ),"Bogor Selatan - Kota, Bogor Kota",2015,96000000,Bogor Kota,Honda,Brio,2013-2017,10,33473130,2,31
1,Pajak Panjang - Daihatsu Ayla 1.0 X Bensin-MT 2016(NK),"Pulo Gadung, Jakarta Timur",2016,69000000,Jakarta Timur,Daihatsu,Ayla,2013-2017,9,26732014,1,25
2,Pajak Panjang - Toyota Calya 1.2 G Bensin-AT 2019(JI),"Pulo Gadung, Jakarta Timur",2019,114000000,Jakarta Timur,Toyota,Calya,2018-2022,6,60584274,10,33
3,DP Rendah - Toyota Agya 1.2 G TRD Sportivo Bensin-AT 2017(CON),"Pulo Gadung, Jakarta Timur",2017,115000000,Jakarta Timur,Toyota,Agya,2013-2017,8,49503729,10,17
4,Wajib Punya !! BMW X5 xLine xDrive 3.5i 2016,"Kebayoran Lama, Jakarta Selatan",2016,415000000,Jakarta Selatan,BMW,X5,2013-2017,9,160779503,0,161
5,Odo=8k Bunga=4.5% Warranty ON PAJAK=AGUST Mercedes Benz C300 AMG 2022,"Kebayoran Baru, Jakarta Selatan",2022,840000000,Jakarta Selatan,Mercedes,Benz,2018-2022,3,612360000,6,27
6,Toyota Hilux 2022 tipe V automatic double cabin 4x4,"Cilandak, Jakarta Selatan",2022,415000000,Jakarta Selatan,Toyota,Hilux,2018-2022,3,302535000,10,83
7,MAZDA CX-5  ELITE 2017 AT,"Cilandak, Jakarta Selatan",2017,305000000,Jakarta Selatan,Mazda,Mazda,2013-2017,8,131292499,5,109
8,[ TSS ] Toyota Alphard 2.5 G ATPM Pilot Seat AT Black hitam 2023 2024,"Kebayoran Baru, Jakarta Selatan",2023,1040000000,Jakarta Selatan,Toyota,Alphard,2023-2027,2,842400000,10,21
9,[ TSS ] Toyota Alphard 2.5 G ATPM Pilot Seat AT Black hitam 2023 2024,"Kebayoran Baru, Jakarta Selatan",2023,1040000000,Jakarta Selatan,Toyota,Alphard,2023-2027,2,842400000,10,21
10,[PAJAK ON Des 2026 Ganjil] Jual CASH Toyota Fortuner AT 2010 Upgrade,"Kebayoran Lama, Jakarta Selatan",2010,156500000,Jakarta Selatan,Toyota,Fortuner,2008-2012,15,32221962,10,74
11,(CASH) Toyota Innova V 2.0 Facelift AT 2020,"Cilandak, Jakarta Selatan",2020,305000000,Jakarta Selatan,Toyota,Innova,2018-2022,5,180099450,10,90
12,Honda Freed E PSD 2013 FullOriginal SepertiBaru Gressss Istimewa Antik,"Cilandak, Jakarta Selatan",2013,123000000,Jakarta Selatan,Honda,Freed,2013-2017,12,34738833,2,75
13,Nissan Xtrail 2.5 T32 2016 FullOriginal SepertiBaru Gressss Istimewa,"Cilandak, Jakarta Selatan",2016,148000000,Jakarta Selatan,Nissan,Xtrail,2013-2017,9,57338232,8,168
14,DP Rendah - Mazda Biante 2.0 Skyactiv Bensin-AT 2015(NTE),"Pulo Gadung, Jakarta Timur",2015,157000000,Jakarta Timur,Mazda,Biante,2013-2017,10,54742515,5,28
15,Pajak Panjang - Suzuki Ertiga 1.5 Sport Bensin-AT 2021(SRZ),"Pulo Gadung, Jakarta Timur",2021,192000000,Jakarta Timur,Suzuki,Ertiga,2018-2022,4,125971200,9,66
16,Pajak Panjang - Honda Civic 1.5 ES Bensin-AT 2018(KAC),"Pulo Gadung, Jakarta Timur",2018,322000000,Jakarta Timur,Honda,Civic,2018-2022,7,154011602,2,40
17,Pajak Panjang - Mazda Biante 2.0 Bensin-AT 2013(KYJ),"Pulo Gadung, Jakarta Timur",2013,117000000,Jakarta Timur,Mazda,Biante,2013-2017,12,33044256,5,28
18,Honda CITY RS HB 1.5  AT 2021 Hitam Premium Condition - B2583KZH,"Kelapa Gading, Jakarta Utara",2021,219000000,Jakarta Utara,Honda,City,2018-2022,4,143685900,2,39
19,Toyota Alphard 2.5 G Facelift CBU ATPM 2022,"Kebayoran Baru, Jakarta Selatan",2022,888000000,Jakarta Selatan,Toyota,Alphard,2018-2022,3,647352000,10,21
20,[LOW KM] Toyota Alphard 2.5 G ATPM TSS Pilot Seat AT Black 2022/2023,"Kebayoran Baru, Jakarta Selatan",2022,1017000000,Jakarta Selatan,Toyota,Alphard,2018-2022,3,741393000,10,21
21,[PAJAK PANJANG] Toyota Alphard 2.5 G ATPM Black on Beige AT 2015/2016,"Kebayoran Lama, Jakarta Selatan",2015,450000000,Jakarta Selatan,Toyota,Alphard,2013-2017,10,156905298,10,21
22,Toyota Calya G AT 2017 Silver Istimewa terawat bukan eks Taxi Online!,"Pasar Minggu, Jakarta Selatan",2017,99000000,Jakarta Selatan,Toyota,Calya,2013-2017,8,42616254,10,33
23,Hyundai Santa Fe XG 2.4 Bensin Panoramic 2016 hitam km low record Joss,"Pasar Minggu, Jakarta Selatan",2016,220000000,Jakarta Selatan,Hyundai,Santa,2013-2017,9,85232508,3,127
24,"Honda HRV 1,5 SE Panoramic 2022","Cilandak, Jakarta Selatan",2022,327000000,Jakarta Selatan,Honda,Hrv,2018-2022,3,238383000,2,86
25,Pajak Panjang - Daihatsu Xenia 1.5 R Deluxe Bensin-MT 2021(SRZ),"Pulo Gadung, Jakarta Timur",2021,175000000,Jakarta Timur,Daihatsu,Xenia,2018-2022,4,114817500,1,164
26,DP Rendah - Nissan Grand livina 1.5 XV Bensin-AT 2018(TVI),"Pulo Gadung, Jakarta Timur",2018,134000000,Jakarta Timur,Nissan,Grand,2018-2022,7,64091785,8,78
27,DP Rendah - Daihatsu Sigra 1.2 X Bensin-MT 2018(SZW),"Pulo Gadung, Jakarta Timur",2018,82000000,Jakarta Timur,Daihatsu,Sigra,2018-2022,7,39220346,1,132
28,Pajak Panjang - Honda Brio Satya 1.2 E Bensin-AT 2019(BIH),"Pulo Gadung, Jakarta Timur",2019,148000000,Jakarta Timur,Honda,Brio,2018-2022,6,78653268,2,31
29,Mitsubishi Xpander 1.5 Cross Premium Package Bensin-AT 2020(KOV),"Pulo Gadung, Jakarta Timur",2020,221000000,Jakarta Timur,Mitsubishi,Xpander,2018-2022,5,130498290,7,167
30,[LOW KM] Wuling Air EV Standard Range Lite Listrik Putih NIK 2024/2025,"Kebayoran Baru, Jakarta Selatan",2024,145000000,Jakarta Selatan,Wuling,Air,2023-2027,1,130500000,11,18
31,Honda Brio 2013 E 1.2 AT KM Low Record Istimewa Banget,"Pasar Minggu, Jakarta Selatan",2013,100000000,Jakarta Selatan,Honda,Brio,2013-2017,12,28242954,2,31
32,Futuristik! Mercedes GLC200 AMG Facelift 2021 x3 cla200 c300 320i,"Kebayoran Baru, Jakarta Selatan",2021,675000000,Jakarta Selatan,Mercedes,Glc200,2018-2022,4,442867500,6,76
33,Nissan Juke revolt 2016,"Pesanggrahan, Jakarta Selatan",2016,159000000,Jakarta Selatan,Nissan,Juke,2013-2017,9,61599858,8,95
34,[LOW KM] Toyota Alphard 2.5 G ATPM TSS Pilot Seat AT Black 2022/2023,"Cilandak, Jakarta Selatan",2022,1023000000,Jakarta Selatan,Toyota,Alphard,2018-2022,3,745767000,10,21
